,name,location,industry,funding,investors,link
0,SoundHound,"Santa Clara, California",Artificial Intelligence (AI) Startups," Corporate Round, $215 Million", Bracket Capital,http://www.soundhound.com/
1,People.ai ,"San Francisco, California",Artificial Intelligence (AI) Startups," Series C, $100 Million"," Andreessen Horowitz (a16z), Lightspeed Ventures, Y Combinator",
2,Riskified ,"New York, New York",Artificial Intelligence (AI) Startups," Series E, $228.7 Million"," Poalim Equity, Winslow Capital",
3,nate,"New York, New York",Artificial Intelligence (AI) Startups," Series A, $47.3 Million", Canaan Partners,https://www.nate.tech/
4,Linguix,"Miami, Florida",Artificial Intelligence (AI) Startups," Pre-Seed, $1M", Flyer One Ventures,
5,Observe.AI,"San Francisco, California",Artificial Intelligence (AI) Startups," Series C, $214 Million"," Y Combinator, Menlo Ventures, Softbank Vision Fun",https://www.observe.ai/
6,Babbel,"Berlin, Germany",App Startups," Series C, $33.3 Million"," IBB Ventures, NGP Capital, REV",https://www.babbel.com/
7,Realworld,"New York, New York",App Startups," Seed, $3.5 Million"," Techstars, Bezos Expeditions",
8,So Syncd,"London, United Kingdom",App Startups," Pre-Seed, $1 Million"," KM Capital, Upscalers",
9,Heetch ,"Paris, France",App Startups," Series B, $75.3 Million"," Kima Ventures, Idinvest Partners",
10,Blinkist,"Berlin, Germany",App Startups," Series C, $34.8 Million"," Insight Partners, Greycroft",https://www.blinkist.com/
11,Snappr,"San Francisco, California",App Startups," Series A, $13 Million"," Y Combinator, Alumni Ventures",https://www.snappr.com/
12,Wonolo,"San Francisco, California",App Startups," Series D, $190.9 Million"," Sequoia Capital, Bain Capital Ventures",https://www.wonolo.com/
13,Saie,"New York, New York",Beauty and Wellness Startups," Seed, Undisclosed"," Unilever Ventures, G9 Ventures",https://saiehello.com/
14,Kinship,"Corte Madera, California",Beauty and Wellness Startups," Early Stage VC, $2.85 Million"," Sugar Capital, True Beauty Ventures",https://lovekinship.com/
15,Parallel Health,"San Francisco, California ",Beauty and Wellness Startups," Pre-Seed, Undisclosed"," Rhythm VC, Illumina Accelerator",
16,Golde,"New York, New York",Beauty and Wellness Startups," Seed, Undisclosed "," Newtype Ventures, Rose Street Capital",https://golde.co/
